,vintage,country,county,designation,points,price,province,title,variety,winery
473,2000,US,California,,84,10.0,California,Forest Glen 2000 Merlot (California),Merlot,Forest Glen
474,2000,US,Rutherford,,87,37.0,California,Pine Ridge 2000 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Pine Ridge
475,2000,US,Monterey,,89,15.0,California,Bernardus 2000 Sauvignon Blanc (Monterey),Sauvignon Blanc,Bernardus
476,2000,US,Paso Robles,Artist Collection,86,35.0,California,Imagery 2000 Artist Collection Petite Sirah (Paso Robles),Petite Sirah,Imagery
477,2000,US,Willamette Valley,,87,20.0,Oregon,Torii Mor 2000 Pinot Gris (Willamette Valley),Pinot Gris,Torii Mor
478,2000,US,Russian River Valley,Keefer Ranch,93,32.0,California,Failla Jordan 2000 Keefer Ranch Chardonnay (Russian River Valley),Chardonnay,Failla Jordan
479,2000,Spain,Rioja,Satinela - Medium Sweet,81,7.0,Northern Spain,Marqués de Cáceres 2000 Satinela - Medium Sweet White (Rioja),White Blend,Marqués de Cáceres
480,2000,Australia,Barossa Valley,Sinner's,82,23.0,South Australia,Yunbar 2000 Sinner's Shiraz (Barossa Valley),Shiraz,Yunbar
481,2000,US,Umpqua Valley,,88,18.0,Oregon,Abacela 2000 Merlot (Umpqua Valley),Merlot,Abacela
482,2000,France,Margaux,,91,35.0,Bordeaux,Château Prieuré-Lichine 2000 Margaux,Bordeaux-style Red Blend,Château Prieuré-Lichine
483,2000,US,Carneros,,87,26.0,California,Joseph Phelps 2000 Chardonnay (Carneros),Chardonnay,Joseph Phelps
484,2000,Chile,,Single Vineyard Reserve,85,17.0,Lontué Valley,Valdivieso 2000 Single Vineyard Reserve Malbec (Lontué Valley),Malbec,Valdivieso
485,2000,Australia,Barossa Valley,Boundary Row,88,18.0,South Australia,Kurtz Family 2000 Boundary Row Grenache (Barossa Valley),Grenache,Kurtz Family
486,2000,France,Champagne,Joyau de France Brut,91,116.0,Champagne,Boizel 2000 Joyau de France Brut (Champagne),Champagne Blend,Boizel
487,2000,US,Napa Valley,Reserve,87,18.0,California,Raymond 2000 Reserve Chardonnay (Napa Valley),Chardonnay,Raymond
488,2000,Australia,Barossa Valley,,85,16.0,South Australia,Yalumba 2000 Chardonnay (Barossa Valley),Chardonnay,Yalumba
489,2000,Italy,Barolo,Riserva,92,84.0,Piedmont,Marchesi di Barolo 2000 Riserva (Barolo),Nebbiolo,Marchesi di Barolo
490,2000,Chile,,Reserve,83,13.0,Cachapoal Valley,Porta 2000 Reserve Chardonnay (Cachapoal Valley),Chardonnay,Porta
491,2000,US,Carneros,,85,19.0,California,Charles Krug 2000 Pinot Noir (Carneros),Pinot Noir,Charles Krug
492,2000,US,Rogue Valley,,90,16.0,Oregon,Paschal 2000 Pinot Blanc (Rogue Valley),Pinot Blanc,Paschal
493,2000,France,Beaune,,86,26.0,Burgundy,Louis Latour 2000 Beaune,Chardonnay,Louis Latour
494,2000,US,Edna Valley,Estate Vineyard,91,32.0,California,Alban 2000 Estate Vineyard Roussanne (Edna Valley),Roussanne,Alban
495,2000,US,Monterey,Hames Valley Vineyard,92,33.0,California,Pessagno 2000 Hames Valley Vineyard Port (Monterey),Port,Pessagno
496,2000,US,Willamette Valley,,91,15.0,Oregon,The Eyrie Vineyards 2000 Pinot Gris (Willamette Valley),Pinot Gris,The Eyrie Vineyards
497,2000,New Zealand,,Barrel Fermented,88,30.0,Central Otago,Felton Road 2000 Barrel Fermented Chardonnay (Central Otago),Chardonnay,Felton Road
498,2000,New Zealand,,Reserve,86,20.0,Marlborough,Brancott 2000 Reserve Pinot Noir (Marlborough),Pinot Noir,Brancott
499,2000,France,Saint-Émilion,P du Roy,90,,Bordeaux,D & R Dubois 2000 P du Roy (Saint-Émilion),Bordeaux-style Red Blend,D & R Dubois
500,2001,New Zealand,,,88,12.0,Marlborough,Spy Valley 2001 Gewürztraminer (Marlborough),Gewürztraminer,Spy Valley
501,2001,Italy,Copertino,Riserva,87,15.0,Southern Italy,Cantina Sociale Cooperativa di Copertino 2001 Riserva Negroamaro (Copertino),Negroamaro,Cantina Sociale Cooperativa di Copertino
502,2001,Greece,,Kelinos,83,35.0,Amindeo,Ioannis Hatzis 2001 Kelinos Xinomavro (Amindeo),Xinomavro,Ioannis Hatzis
503,2001,Italy,Collio,Sauvignon de la Tour,87,38.0,Northeastern Italy,Villa Russiz 2001 Sauvignon de la Tour Sauvignon Blanc (Collio),Sauvignon Blanc,Villa Russiz
504,2001,France,Alsace,Sélection de Grains Nobles,92,197.0,Alsace,Hugel 2001 Sélection de Grains Nobles Gewurztraminer (Alsace),Gewürztraminer,Hugel
505,2001,New Zealand,,Falcon Vineyard - Late Harvest,83,17.0,Marlborough,Lake Chalice 2001 Falcon Vineyard - Late Harvest Riesling (Marlborough),Riesling,Lake Chalice
506,2001,Italy,Soave Classico,La Froscà,89,18.0,Veneto,Gini 2001 La Froscà (Soave Classico),White Blend,Gini
507,2001,Italy,Barolo,Riserva La Volta,87,70.0,Piedmont,Viberti 2001 Riserva La Volta (Barolo),Nebbiolo,Viberti
508,2001,Chile,,Marques de Casa Concha,87,14.0,Peumo,Concha y Toro 2001 Marques de Casa Concha Merlot (Peumo),Merlot,Concha y Toro
509,2001,US,Mendocino,,84,9.0,California,Parducci 2001 Chardonnay (Mendocino),Chardonnay,Parducci
510,2001,US,Santa Lucia Highlands,,90,31.0,California,Roar 2001 Pinot Noir (Santa Lucia Highlands),Pinot Noir,Roar
511,2001,Portugal,,,86,7.0,Vinho Verde,Quinta da Aveleda 2001 Trajadura (Vinho Verde),Trajadura,Quinta da Aveleda
512,2001,US,Yakima Valley,,86,7.0,Washington,Tucker 2001 Gewürztraminer (Yakima Valley),Gewürztraminer,Tucker
513,2001,US,Edna Valley,Dijon Clones Selection,87,25.0,California,Wolff 2001 Dijon Clones Selection Pinot Noir (Edna Valley),Pinot Noir,Wolff
514,2001,US,Russian River Valley,,90,24.0,California,Ledson 2001 Chardonnay (Russian River Valley),Chardonnay,Ledson
515,2001,US,Paso Robles,,91,,California,L'Aventure 2001 Syrah (Paso Robles),Syrah,L'Aventure
516,2001,France,Saint-Émilion,Grand-Portail Cuvée Réservée,86,15.0,Bordeaux,Caves Fleury 2001 Grand-Portail Cuvée Réservée (Saint-Émilion),Bordeaux-style Red Blend,Caves Fleury
517,2001,US,Santa Barbara County,,88,14.0,California,Babcock 2001 Pinot Grigio (Santa Barbara County),Pinot Grigio,Babcock
518,2001,Italy,Taurasi,Fatica Contadina,90,54.0,Southern Italy,Terredora 2001 Fatica Contadina (Taurasi),Aglianico,Terredora
519,2001,Italy,Taurasi,Riserva CampoRe,92,70.0,Southern Italy,Terredora 2001 Riserva CampoRe (Taurasi),Aglianico,Terredora
520,2001,US,California,Nouveau,86,8.0,California,Beringer 2001 Nouveau Red (California),Red Blend,Beringer
521,2001,Chile,,,84,9.0,Maipo Valley,Cousiño-Macul 2001 Merlot (Maipo Valley),Merlot,Cousiño-Macul
522,2001,Argentina,Mendoza,,83,13.0,Mendoza Province,Alamos 2001 Chardonnay (Mendoza),Chardonnay,Alamos
523,2001,Chile,,Big Tattoo Red,87,9.0,Colchagua Valley,Two Brothers 2001 Big Tattoo Red Red (Colchagua Valley),Red Blend,Two Brothers
524,2001,Australia,New South Wales,Warburn,86,10.0,New South Wales,Riverina Estates 2001 Warburn Chardonnay (New South Wales),Chardonnay,Riverina Estates
525,2001,Italy,Delle Venezie,Capitel Croce,91,18.0,Northeastern Italy,Anselmi 2001 Capitel Croce White (Delle Venezie),White Blend,Anselmi
526,2001,New Zealand,,Dog Point,85,20.0,Marlborough,Goldwater 2001 Dog Point Sauvignon Blanc (Marlborough),Sauvignon Blanc,Goldwater
527,2001,US,Columbia Valley (WA),Dry White,88,22.0,Washington,Woodward Canyon 2001 Dry White Riesling (Columbia Valley (WA)),Riesling,Woodward Canyon
528,2001,Italy,Amarone della Valpolicella Classico,,93,90.0,Veneto,Bertani 2001 Amarone della Valpolicella Classico,"Corvina, Rondinella, Molinara",Bertani
529,2001,Italy,Barolo,Sorano,91,60.0,Piedmont,Giacomo Ascheri 2001 Sorano (Barolo),Nebbiolo,Giacomo Ascheri
530,2001,New Zealand,,Reserve,88,15.0,Hawke's Bay,Mills Reef 2001 Reserve Sauvignon Blanc (Hawke's Bay),Sauvignon Blanc,Mills Reef
531,2001,Italy,Lugana,Vigneto San Martino,84,,Lombardy,Tommasi 2001 Vigneto San Martino (Lugana),White Blend,Tommasi
532,2001,Chile,,,84,11.0,Rapel Valley,Viña Casas del Bosque 2001 Cabernet Sauvignon (Rapel Valley),Cabernet Sauvignon,Viña Casas del Bosque
533,2001,Australia,Victoria,Nantua Les Deux,90,45.0,Victoria,Giaconda 2001 Nantua Les Deux White (Victoria),White Blend,Giaconda
534,2001,New Zealand,,Reserve,88,18.0,Marlborough,Brancott 2001 Reserve Sauvignon Blanc (Marlborough),Sauvignon Blanc,Brancott
535,2001,US,Monterey,,84,10.0,California,Maddalena 2001 Chardonnay (Monterey),Chardonnay,Maddalena
536,2001,US,Napa Valley,Susy's Cuvée,86,18.0,California,Waugh Cellars 2001 Susy's Cuvée Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Waugh Cellars
537,2001,Italy,Isonzo del Friuli,,83,10.0,Northeastern Italy,Nando 2001 Pinot Grigio (Isonzo del Friuli),Pinot Grigio,Nando
538,2001,Australia,Victoria,Aeolia,93,75.0,Victoria,Giaconda 2001 Aeolia Roussanne (Victoria),Roussanne,Giaconda
539,2001,US,Columbia Valley (WA),,89,12.0,Washington,Yellow Hawk Cellar 2001 Muscat Canelli (Columbia Valley (WA)),Muscat Canelli,Yellow Hawk Cellar
540,2001,Italy,Alto Adige,Lafoa,90,35.0,Northeastern Italy,Produttori Colterenzio 2001 Lafoa Sauvignon Blanc (Alto Adige),Sauvignon Blanc,Produttori Colterenzio
541,2001,Chile,,,87,8.0,Maule Valley,Casa Julia 2001 Sauvignon Blanc (Maule Valley),Sauvignon Blanc,Casa Julia
542,2001,Italy,Brunello di Montalcino,Riserva,92,80.0,Tuscany,Fattoria dei Barbi 2001 Riserva (Brunello di Montalcino),Sangiovese,Fattoria dei Barbi
543,2001,Chile,,Reserve,87,16.0,Rapel Valley,Viña Casas del Bosque 2001 Reserve Cabernet Sauvignon (Rapel Valley),Cabernet Sauvignon,Viña Casas del Bosque
544,2001,Italy,Alto Adige,Lunare,87,43.0,Northeastern Italy,Cantina Terlano 2001 Lunare Gewürztraminer (Alto Adige),Gewürztraminer,Cantina Terlano
545,2001,US,Napa Valley,,89,14.0,California,Andretti 2001 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Andretti
546,2001,US,Santa Lucia Highlands,Rosella's Vineyard,88,50.0,California,Testarossa 2001 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
547,2001,Italy,Venezia Giulia,,89,34.0,Northeastern Italy,Bressan 2001 Pinot Nero (Venezia Giulia),Pinot Nero,Bressan
548,2001,US,Russian River Valley,Late Disgorged Vintage Brut,93,90.0,California,J Vineyards & Winery 2001 Late Disgorged Vintage Brut Sparkling (Russian River Valley),Sparkling Blend,J Vineyards & Winery
549,2001,New Zealand,,,87,20.0,Martinborough,Nga Waka 2001 Riesling (Martinborough),Riesling,Nga Waka
550,2001,Italy,Vino Nobile di Montepulciano,Vigneto Poggio Sant'Enrico,92,75.0,Tuscany,Carpineto 2001 Vigneto Poggio Sant'Enrico (Vino Nobile di Montepulciano),Prugnolo Gentile,Carpineto
551,2001,Italy,Friuli Venezia Giulia,Blanc des Rosis,89,31.0,Northeastern Italy,Mario Schiopetto 2001 Blanc des Rosis White (Friuli Venezia Giulia),White Blend,Mario Schiopetto
552,2001,France,Saint-Julien,,94,54.0,Bordeaux,Château Talbot 2001 Saint-Julien,Bordeaux-style Red Blend,Château Talbot
553,2001,Chile,,Amelia Limited Release,88,33.0,Casablanca Valley,Concha y Toro 2001 Amelia Limited Release Chardonnay (Casablanca Valley),Chardonnay,Concha y Toro
554,2001,Spain,Tarragona,Centenaria,86,10.0,Catalonia,Coto de Hayas 2001 Centenaria Garnacha (Tarragona),Garnacha,Coto de Hayas
555,2001,New Zealand,,,82,12.0,Nelson,Trout Valley 2001 Chardonnay (Nelson),Chardonnay,Trout Valley
556,2001,Chile,,Reserva,87,12.0,Maipo Valley,Undurraga 2001 Reserva Merlot (Maipo Valley),Merlot,Undurraga
557,2001,Chile,,,83,10.0,Rapel Valley,La Palma 2001 Chardonnay (Rapel Valley),Chardonnay,La Palma
558,2001,US,California,,84,6.0,California,Woodbridge 2001 Sauvignon Blanc (California),Sauvignon Blanc,Woodbridge
559,2001,US,Sonoma County,Redwood Ranch,87,20.0,California,Gary Farrell 2001 Redwood Ranch Sauvignon Blanc (Sonoma County),Sauvignon Blanc,Gary Farrell
560,2001,Italy,Friuli Venezia Giulia,Ipso,91,18.0,Northeastern Italy,Volpe Pasini 2001 Ipso Pinot Grigio (Friuli Venezia Giulia),Pinot Grigio,Volpe Pasini
561,2001,US,Carneros,,89,29.0,California,Cuvaison 2001 Pinot Noir (Carneros),Pinot Noir,Cuvaison
562,2001,Italy,Soave Classico Superiore,,89,13.0,Veneto,Inama 2001 Soave Classico Superiore,White Blend,Inama
563,2001,Italy,Montepulciano d'Abruzzo,,90,105.0,Central Italy,Emidio Pepe 2001 Montepulciano d'Abruzzo,Montepulciano,Emidio Pepe
564,2001,US,Napa Valley,Signature,90,38.0,California,Darioush 2001 Signature Chardonnay (Napa Valley),Chardonnay,Darioush
565,2001,US,Napa Valley,,92,70.0,California,Versant Vineyards 2001 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Versant Vineyards
566,2001,Italy,Aglianico del Vulture,Riserva,91,,Southern Italy,Bisceglia 2001 Riserva (Aglianico del Vulture),Aglianico,Bisceglia
567,2001,Austria,,Steinterrassen Federspiel,93,24.0,Wachau,Franz Hirtzberger 2001 Steinterrassen Federspiel Riesling (Wachau),Riesling,Franz Hirtzberger
568,2001,Chile,,Reserve,82,11.0,Rio Claro,Aresti 2001 Reserve Merlot (Rio Claro),Merlot,Aresti
569,2001,Italy,Amarone della Valpolicella Classico,Campo del TÃ¬tari,89,,Veneto,Brunelli 2001 Campo del TÃ¬tari (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Brunelli
570,2001,Australia,South Eastern Australia,,87,10.0,Australia Other,Nardone Baker 2001 Chardonnay (South Eastern Australia),Chardonnay,Nardone Baker
571,2001,South Africa,,,85,14.0,Stellenbosch,Rust en Vrede 2001 Merlot (Stellenbosch),Merlot,Rust en Vrede
572,2001,Portugal,,Colheita,90,44.0,Port,Niepoort 2001 Colheita (Port),Port,Niepoort
573,2001,Spain,Ribera del Duero,Crianza,88,22.0,Northern Spain,Torrederos 2001 Crianza (Ribera del Duero),Tempranillo,Torrederos
574,2001,Italy,Irpinia,Naturalis Historia,93,65.0,Southern Italy,Mastroberardino 2001 Naturalis Historia Aglianico (Irpinia),Aglianico,Mastroberardino
575,2001,New Zealand,,,84,15.0,Marlborough,Lake Chalice 2001 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Lake Chalice
576,2001,Portugal,,Muscat of Alexandria,87,10.0,Terras do Sado,João Pires 2001 Muscat of Alexandria Muscat (Terras do Sado),Muscat,João Pires
577,2001,Spain,Rioja,Reserva,84,18.0,Northern Spain,Castillo Clavijo 2001 Reserva (Rioja),Tempranillo Blend,Castillo Clavijo
578,2001,Italy,Trentino,L'Aristocratico,85,15.0,Northeastern Italy,Ca' Montini 2001 L'Aristocratico Sauvignon Blanc (Trentino),Sauvignon Blanc,Ca' Montini
579,2001,US,Santa Barbara County,Eleven Oaks,86,23.0,California,Babcock 2001 Eleven Oaks Sauvignon Blanc (Santa Barbara County),Sauvignon Blanc,Babcock
580,2001,US,Sonoma Coast,,83,15.0,California,MacMurray Ranch 2001 Pinot Noir (Sonoma Coast),Pinot Noir,MacMurray Ranch
581,2001,US,Santa Maria Valley,Bien Nacido Vineyard,85,36.0,California,Longoria 2001 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Longoria
582,2001,Chile,,,84,8.0,Maipo Valley,Casa Julia 2001 Syrah (Maipo Valley),Syrah,Casa Julia
583,2001,France,France,Vin de Pays de l'Ardeche,80,10.0,France Other,Georges Duboeuf 2001 Vin de Pays de l'Ardeche Viognier (France),Viognier,Georges Duboeuf
584,2001,France,Rivesaltes,Domaine de Bila-Haut Vin Doux Naturel,89,26.0,Languedoc-Roussillon,M. Chapoutier 2001 Domaine de Bila-Haut Vin Doux Naturel Grenache (Rivesaltes),Grenache,M. Chapoutier
585,2001,Australia,South Australia,,84,12.0,South Australia,Wolf Blass 2001 Chardonnay (South Australia),Chardonnay,Wolf Blass
586,2001,US,Russian River Valley,Klopp Ranch,92,48.0,California,Merry Edwards 2001 Klopp Ranch Pinot Noir (Russian River Valley),Pinot Noir,Merry Edwards
587,2001,Argentina,Mendoza,,83,7.0,Mendoza Province,Santa Julia 2001 Chardonnay (Mendoza),Chardonnay,Santa Julia
588,2001,US,Clear Lake,,87,12.0,California,The Seven Brothers 2001 Sauvignon Blanc (Clear Lake),Sauvignon Blanc,The Seven Brothers
589,2001,Italy,Isonzo del Friuli,,87,15.0,Northeastern Italy,Bortoluzzi 2001 Pinot Grigio (Isonzo del Friuli),Pinot Grigio,Bortoluzzi
590,2001,Chile,,,85,11.0,Casablanca Valley,Morandé 2001 Pinot Noir (Casablanca Valley),Pinot Noir,Morandé
591,2001,Australia,South Eastern Australia,,83,6.0,Australia Other,Banrock Station 2001 Chardonnay (South Eastern Australia),Chardonnay,Banrock Station
592,2001,Italy,Soave Classico Superiore,Contrada Salavrenza Vecchie Vigne,91,24.0,Veneto,Gini 2001 Contrada Salavrenza Vecchie Vigne (Soave Classico Superiore),White Blend,Gini
593,2001,US,Knights Valley,Alluvium Blanc,84,16.0,California,Beringer 2001 Alluvium Blanc Semillon-Sauvignon Blanc (Knights Valley),Semillon-Sauvignon Blanc,Beringer
594,2001,US,El Dorado County,,86,14.0,California,Perry Creek 2001 Chardonnay (El Dorado County),Chardonnay,Perry Creek
595,2001,US,El Dorado,,82,10.0,California,Madroña 2001 Riesling (El Dorado),Riesling,Madroña
596,2001,France,Saint-Julien,,96,90.0,Bordeaux,Château Léoville Barton 2001 Saint-Julien,Bordeaux-style Red Blend,Château Léoville Barton
597,2001,Chile,,Reserva,85,11.0,Casablanca Valley,Santa Rita 2001 Reserva Chardonnay (Casablanca Valley),Chardonnay,Santa Rita
598,2001,France,Alsace,,87,18.0,Alsace,René Muré 2001 Riesling (Alsace),Riesling,René Muré
599,2001,US,Russian River Valley,,83,35.0,California,Martin Family Vineyards 2001 Pinot Noir (Russian River Valley),Pinot Noir,Martin Family Vineyards
600,2001,US,Monterey County,,89,15.0,California,Bernardus 2001 Sauvignon Blanc (Monterey County),Sauvignon Blanc,Bernardus
601,2001,US,Napa Valley,Rodgers Vineyard,84,26.0,California,Cenay 2001 Rodgers Vineyard Pinot Noir (Napa Valley),Pinot Noir,Cenay
602,2001,US,Lodi,,85,14.0,California,Leonardo Family Vineyards 2001 Cabernet Sauvignon-Syrah (Lodi),Cabernet Sauvignon-Syrah,Leonardo Family Vineyards
603,2001,New Zealand,,,87,14.0,Marlborough,Allan Scott 2001 Riesling (Marlborough),Riesling,Allan Scott
604,2001,US,Idaho,Dry,88,6.0,Idaho,Ste. Chapelle 2001 Dry Riesling (Idaho),Riesling,Ste. Chapelle
605,2001,France,Sancerre,,83,15.0,Loire Valley,Sauvion 2001 Sancerre,Sauvignon Blanc,Sauvion
606,2001,Chile,,Pionero,84,7.0,Casablanca Valley,Morandé 2001 Pionero Pinot Noir (Casablanca Valley),Pinot Noir,Morandé
607,2001,US,Sonoma County,Reserve,86,18.0,California,Rancho Zabaco 2001 Reserve Sauvignon Blanc (Sonoma County),Sauvignon Blanc,Rancho Zabaco
608,2001,Italy,Toscana,Il Decennale,90,200.0,Tuscany,Poggio di Sotto 2001 Il Decennale Sangiovese (Toscana),Sangiovese,Poggio di Sotto
609,2001,Italy,Amarone della Valpolicella Classico,Mazzano,94,198.0,Veneto,Masi 2001 Mazzano (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Masi
610,2001,US,Santa Maria Valley,Katherine's Estate Bottled,89,22.0,California,Cambria 2001 Katherine's Estate Bottled Chardonnay (Santa Maria Valley),Chardonnay,Cambria
611,2001,France,Languedoc,Reserve St. Martin,82,8.0,Languedoc-Roussillon,Val d'Orbieu 2001 Reserve St. Martin Syrah (Languedoc),Syrah,Val d'Orbieu
612,2001,US,Santa Maria Valley,Bien Nacido Vineyard,86,50.0,California,Testarossa 2001 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Testarossa
613,2001,Italy,Vigneti delle Dolomiti,San Leonardo,93,60.0,Northeastern Italy,Tenuta San Leonardo 2001 San Leonardo Red (Vigneti delle Dolomiti),Red Blend,Tenuta San Leonardo
614,2001,Chile,,Family Selection,91,45.0,Curicó Valley,Aresti 2001 Family Selection Cabernet Sauvignon (Curicó Valley),Cabernet Sauvignon,Aresti
615,2001,US,North Fork of Long Island,Estate Bottled,86,25.0,New York,Raphael 2001 Estate Bottled Merlot (North Fork of Long Island),Merlot,Raphael
616,2001,Australia,Western Australia,,85,14.0,Western Australia,Element 2001 Chardonnay (Western Australia),Chardonnay,Element
617,2001,Germany,,Wehlener Sonnenuhr Vat 10 Riesling Beerenauslese,91,160.0,Mosel-Saar-Ruwer,S.A. Prüm 2001 Wehlener Sonnenuhr Vat 10 Riesling Beerenauslese Riesling (Mosel-Saar-Ruwer),Riesling,S.A. Prüm
618,2001,France,Champagne,Millésime Brut,90,51.0,Champagne,Charles Ellner 2001 Millésime Brut (Champagne),Champagne Blend,Charles Ellner
619,2001,France,Vin de Pays d'Oc,,82,7.0,Languedoc-Roussillon,Michel Laroche 2001 Merlot (Vin de Pays d'Oc),Merlot,Michel Laroche
620,2001,Italy,Etna,Phiale,90,26.0,Sicily & Sardinia,Scilio 2001 Phiale (Etna),Red Blend,Scilio
621,2001,US,Russian River Valley,,85,17.0,California,Kenwood 2001 Pinot Noir (Russian River Valley),Pinot Noir,Kenwood
622,2001,Italy,Alto Adige,Cornell,89,33.0,Northeastern Italy,Produttori Colterenzio 2001 Cornell Chardonnay (Alto Adige),Chardonnay,Produttori Colterenzio
623,2001,Italy,Chianti,,83,10.0,Tuscany,Piccini 2001 Chianti,Sangiovese,Piccini
624,2001,Italy,Friuli Grave,,85,13.0,Northeastern Italy,Plozner 2001 Pinot Grigio (Friuli Grave),Pinot Grigio,Plozner
625,2001,Chile,,Reserve,84,15.0,Casablanca Valley,Viña Casas del Bosque 2001 Reserve Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Viña Casas del Bosque
626,2001,Chile,,Estate,85,8.0,Cachapoal Valley,Agustinos 2001 Estate Chardonnay (Cachapoal Valley),Chardonnay,Agustinos
627,2001,France,Saint-Julien,,93,70.0,Bordeaux,Château Beychevelle 2001 Saint-Julien,Bordeaux-style Red Blend,Château Beychevelle
628,2001,New Zealand,,,89,19.0,Hawke's Bay,Esk Valley 2001 Sauvignon Blanc (Hawke's Bay),Sauvignon Blanc,Esk Valley
629,2001,Greece,,Vigneto Massoni,88,,Naoussa,Zenato 2001 Vigneto Massoni White (Naoussa),White Blend,Zenato
630,2001,US,Monterey County,,86,16.0,California,Anapamu 2001 Pinot Noir (Monterey County),Pinot Noir,Anapamu
631,2001,Italy,Gattinara,Trevigne,91,43.0,Piedmont,Travaglini 2001 Trevigne (Gattinara),Nebbiolo,Travaglini
632,2001,Italy,Alto Adige,Beyond the Clouds,90,40.0,Northeastern Italy,Elena Walch 2001 Beyond the Clouds White (Alto Adige),White Blend,Elena Walch
633,2001,Italy,Toscana,Casalferro,91,50.0,Tuscany,Barone Ricasoli 2001 Casalferro Red (Toscana),Red Blend,Barone Ricasoli
634,2001,Italy,Veneto,,83,8.0,Veneto,La Villa Veneta 2001 Pinot Grigio (Veneto),Pinot Grigio,La Villa Veneta
635,2001,Italy,Friuli Isonzo,Flors di Uis,88,27.0,Northeastern Italy,Vie di Romans 2001 Flors di Uis White (Friuli Isonzo),White Blend,Vie di Romans
636,2001,Italy,Trentino,Maso Canali,84,17.0,Northeastern Italy,Ecco Domani 2001 Maso Canali Pinot Grigio (Trentino),Pinot Grigio,Ecco Domani
637,2001,US,North Coast,,82,18.0,California,Ramspeck 2001 Pinot Noir (North Coast),Pinot Noir,Ramspeck
638,2001,Italy,Toscana,Infinito,88,50.0,Tuscany,Castello di Monastero 2001 Infinito Red (Toscana),Red Blend,Castello di Monastero
639,2001,Chile,,,85,8.0,Central Valley,Valdivieso 2001 Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,Valdivieso
640,2001,US,Santa Lucia Highlands,Sleepy Hollow Vineyard,89,50.0,California,Testarossa 2001 Sleepy Hollow Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
641,2001,US,California,Vintner's Reserve,85,14.0,California,Kendall-Jackson 2001 Vintner's Reserve Pinot Noir (California),Pinot Noir,Kendall-Jackson
642,2001,Australia,Western Australia,,88,21.0,Western Australia,Sandalford 2001 Chardonnay (Western Australia),Chardonnay,Sandalford
643,2001,Chile,,Reserva,87,11.0,Colchagua Valley,Undurraga 2001 Reserva Carmenère (Colchagua Valley),Carmenère,Undurraga
644,2001,Italy,Collio,,86,22.0,Northeastern Italy,Villa Russiz 2001 Pinot Grigio (Collio),Pinot Grigio,Villa Russiz
645,2001,Italy,Toscana,Cortaccio,92,61.0,Tuscany,Villa Cafaggio 2001 Cortaccio Cabernet Sauvignon (Toscana),Cabernet Sauvignon,Villa Cafaggio
646,2002,Italy,Toscana,Vin San Laurentino,92,95.0,Tuscany,Castello di Bossi 2002 Vin San Laurentino White (Toscana),White Blend,Castello di Bossi
647,2002,Chile,,Estate Bottled Reserve,84,8.0,Maipo Valley,Santa Alicia 2002 Estate Bottled Reserve Sauvignon Blanc (Maipo Valley),Sauvignon Blanc,Santa Alicia
648,2002,Hungary,,3 Puttonyos Aszú,87,20.0,Tokaji,Château Hellha 2002 3 Puttonyos Aszú (Tokaji),Tokaji,Château Hellha
649,2002,Australia,Clare Valley,Polish Hill,91,30.0,South Australia,Grosset 2002 Polish Hill Riesling (Clare Valley),Riesling,Grosset
650,2002,Italy,Franciacorta,Dosage Zero,90,88.0,Lombardy,Ca' del Bosco 2002 Dosage Zero Sparkling (Franciacorta),Sparkling Blend,Ca' del Bosco
651,2002,US,Sonoma County,Claret,87,20.0,California,St. Francis 2002 Claret Red (Sonoma County),Bordeaux-style Red Blend,St. Francis
652,2002,Italy,Soave,Classico,84,,Veneto,Zonin 2002 Classico (Soave),White Blend,Zonin
653,2002,Chile,,Reserve,83,15.0,Casablanca Valley,Viña Casas del Bosque 2002 Reserve Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Viña Casas del Bosque
654,2002,US,Finger Lakes,,83,20.0,New York,Shaw 2002 Cabernet Sauvignon (Finger Lakes),Cabernet Sauvignon,Shaw
655,2002,US,Russian River Valley,Estate,87,33.0,California,Russian Hill 2002 Estate Pinot Noir (Russian River Valley),Pinot Noir,Russian Hill
656,2002,Australia,Clare Valley,The Benbournie,93,140.0,South Australia,Jim Barry 2002 The Benbournie Cabernet Sauvignon (Clare Valley),Cabernet Sauvignon,Jim Barry
657,2002,France,Champagne,Palmes d'Or Rosé,85,200.0,Champagne,Nicolas Feuillatte 2002 Palmes d'Or Rosé (Champagne),Champagne Blend,Nicolas Feuillatte
