,winery,cities
148,La FenÃªtre,
970,La Grande Côte,
1595,La Marea,
562,La Merika,
890,La Montagne,
85,La Storia by Trentadue,
1721,La Voix,
1794,Laguna,
1262,Lake and Vine Cellars,
528,Lander-Jenkins,
1707,Landsman,
120,Larry Hyde and Sons,
1193,Laura Michael,
280,Laurier,
1705,Le Casque,
1815,Le Mistral,
1777,Lea,
1679,Leaping Horse,
496,Leese-Fitch,
1330,Legendre,
1791,Leo Steen Wines,
1369,Lexington,
1561,Liberated,
459,Liberty School,
1399,Limited by Cambridge Cellars,
433,Little Black Dress,
177,Little Stone Vineyard,
1577,LJ Crafted Wines,
1519,Loft,
798,Londer,
672,Longwood,
807,Loredona,
772,Lucie,
1564,Lucky Rock Wine Co.,
339,Lucky Star,
559,Luke Donald,
1817,Luna Hart,
1420,LVE,
134,Lyeth,
1165,Lynch Wines,
1778,Lyric by Etude,
1411,Macauley,
953,Macchia,
846,MacLaren,
1824,MacLeod,
1479,MacMurray Estate Vineyards,
266,MacMurray Ranch,
176,MacPhail,
981,MacRostie,
957,Mad Duck,
469,Maddalena,
1220,Madonna Estate,
1090,Madrigal,
195,Maggy Hawk,
1813,Magic Door,
643,Magistrate,
1720,Magna Mater,
167,Magness,
1084,Magnolia Court,
725,Mahoney,
1618,MaidenStoen,
881,Main & Geary,
151,Maldonado,
270,Malibu Rocky Oaks,
601,Malk,
1317,Mandolin,
183,Manifesto!,
1741,Manross,
1188,Mansfield-Dunne,
1167,Manzoni,
1018,Margerum,
1640,Marietta Cellars,
684,Marilyn,
715,Marimar Estate,
323,Mario Bazán,
1384,Mark David,
296,Mark West,
354,Markham,
1829,Markus Wine Co,
477,Maroon,
572,Marshall Family Wines,
1255,Martin & Weyrich,
241,Martin Ranch,
244,Martin Ray,
1342,Masút,
267,Matanzas Creek,
442,Matchbook,
797,Materra Cunat Family Vineyards,
1536,Mathew Bruno,
1267,Matrix,
1158,Mattina Fiore,
194,Mauritson,
1623,Maxville,
372,Mayacamas,
942,Mazzocco,
850,McCay Cellars,
1796,McClean,
654,McFadden,
884,McGrail,
755,McIntyre Vineyards,
1645,McKahn,
1676,McKinney,
173,McManis,
1542,MCV,
826,Meadowcroft,
1460,Medlock Ames,
1261,Meeker,
1343,Meiomi,
724,Melville,
83,Mercy,
1121,Merriam,
192,Merry Edwards,
1764,Mersenne,
126,Merus,
1527,Mesa Del Sol,
652,Metaphora,
810,Metate Hill Vineyards,
235,Meyer Family Cellars,
1516,Mi Sueño,
160,MICA Cellars,
107,Michael David,
1329,Michael Mondavi Family Estate,
519,Michael Pozzan,
1736,Michael Sullberg,
1477,Michael-Scott,
1501,Michaud,
1440,Michel-Schlumberger,
311,Midnight,
109,Midsummer Cellars,
645,Migration,
1567,Mike and Molly Hendry,
1296,Mill Creek,
208,Millésimé,
579,Minassian-Young,
1648,Miner,
1248,Ministry of the Vinterior,
731,Mira,
1145,Miraflores,
737,Mirassou,
106,Miro,
1389,Mirror,
1537,Mithra,
1268,Mollie,
1546,Moniker,
1812,Monochrome,
171,Montagna,
1624,Monte Smith,
1020,Monte Volpe,
910,Montemaggiore,
1438,Montemar Wines,
1351,Montevina,
279,Monticello Vineyards,
485,Montoliva,
557,Montoya,
1628,MooBuzz,
1202,Mooney Family,
915,Morovino,
108,Morse,
1081,Moscato Bella,
1068,Mossback,
825,Mount Eden Vineyards,
800,Mount Veeder,
824,Mounts,
1574,Mt. Brave,
368,Mt. Konocti Winery,
1825,Muddy Boot,
1328,Muirwood,
1056,Mulvane Wine Co.,
758,Mumm Napa,
1611,Municipal Winemakers,
102,Murphy-Goode,
1776,Murrieta's Well,
145,Mutt Lynch,
1422,My Essential,
1298,Myka,
1133,Nadia,
969,Naggiar,
1110,Nagy,
1148,Napa Cellars,
571,Napa Family Vineyards,
1050,Naughty Boy,
400,Navarro,
614,Newman's Own,
94,Newsome-Harlow,
1758,Neyers,
1802,Nica,
984,Nice Pairing,
1112,Nicholson Ranch,
465,Nickel & Nickel,
1116,Nico,
1682,Nicora,
1180,Nine North Wine Company,
977,Niner,
1576,Ninety+,
1642,Noble Tree,
1147,Noble Vines,
892,Noceto,
397,Novy,
1703,Now Presenting...,
1276,Oak and Vine,
1555,Oak Farm,
264,Oak Grove,
990,Oak Mountain,
1159,Oak Ridge,
330,Oakville East,
198,Oakville Ranch,
1013,Oakville Winery,
1325,Oberon,
1451,Obsidian Ridge,
506,Occasio,
748,Occidental Road Cellars,
309,Ojai,
1528,Okapi,
757,Olabisi,
1472,Old Soul,
209,On Point,
736,On Q,
81,One Hope,
1154,One Iron,
1161,One Leaf,
1212,Onesta,
1828,Onward,
771,ONX,
1568,Opolo,
123,Orentano,
935,Orfila,
1543,Orpheus,
909,Oso Libre,
1565,Ottimino Vineyards,
835,Ousterhout,
1166,Outlier,
1185,Overland,
337,Ovid,
637,Pace,
493,Padis,
1109,Page Mill Winery,
1495,Pagter Brothers,
1461,Paix Sur Terre,
202,Pali,
893,Palmina,
1395,Palumbo Family Vineyards,
1239,Panthea,
1146,Papapietro Perry,
1100,Paraduxx,
242,Paraiso Vineyards,
1510,Paratus,
286,Parducci,
1263,Paris Valley Road Cellars,
1699,Parker,
916,Parkers Estate,
1670,Parmeson,
1183,Parrish Family,
923,Passaggio,
435,Pat Paulsen Vineyards,
885,Patel,
894,Patland,
118,Patz & Hall,
610,Paul Dolan,
752,Paul Hobbs,
1305,Peace Water,
743,Peachy Canyon,
1079,Pear Valley,
685,Pech Merle,
238,Pedroncelli,
1275,Pegasus Estate,
210,Peirano,
186,Peju,
1637,Pellegrini,
1465,Pellet Estate,
974,Peloton,
1358,Peltier,
617,Pence Ranch,
1783,Pennyroyal Farm,
964,Pennywise,
1301,People's Wine Revolution,
1199,Perry Creek,
403,Pessagno,
604,Peter Cellars,
1086,Peter Franus,
1120,Peter Paul Wines,
714,Peters Family,
373,Pezzi King,
366,Pfendler,
475,Phantom Rivers,
1287,Phillips Hill,
733,Philo Ridge,
170,Piña,
1150,Pianetta,
1178,Picayune,
1557,Piccolo,
405,Picket Fence,
523,Pietra Santa,
1381,Pine & Brown,
1280,Pinot d'Oro,
920,Piocho,
1653,Point & Line,
317,Pomar Junction,
384,Pont de Chevalier,
1627,Ponte,
1119,Pope Valley Winery,
926,Portalupi,
675,Porter Family Vineyards,
1383,Portola Vineyards,
1656,Poseidon,
1790,Powicana Farm,
634,Prager,
1753,Predator,
121,Presqu'ile,
1191,PreVail,
353,Pride Mountain,
692,Prim Family,
1124,Prime Solum,
1725,Prodigal,
613,Proulx,
1129,Provenance Vineyards,
211,Proverbial,
502,Publix,
1387,Puccioni,
1550,Pugilist,
1486,Pulchella,
1684,Puma Road,
770,Pure Cru,
773,Purlieu,
582,Purple Cowboy,
1687,Purple Heart Wines,
161,Putah Creek,
738,Q,
1227,Quadrant,
1243,Quady,
713,Quintessa,
799,Quivira,
1136,Qupé,
1619,Rabble,
729,Rahn,
1097,Ramey,
681,Ram's Gate,
310,Ramsay,
839,Ramspeck,
836,Ranchero Cellars,
1278,Rancho Maria,
436,Rancho Sisquoc,
520,Ravenswood,
596,Raymond,
690,Reaper,
988,Reata,
575,Record Family Wines,
627,Red Car,
1515,Red Rock,
1424,Red Stich,
1685,Red Thread Wines,
1681,Redwood Empire,
1142,Refugio Ranch,
1099,Reign,
1596,Reinert Project,
43,Renaudin,
1114,Rendarrio Vineyards,
154,Renteria,
1093,Renwood,
1654,Reuling Vineyard,
308,Reverie,
1518,Rexford,
607,Reynoso,
1773,Rhiannon,
1254,Rideau,
928,Ripken,
980,River Road,
816,River Rock,
93,Riverbench,
1582,Rivino,
882,Roadhouse Winery,
489,Roar,
1701,Roark Wine Co.,
1252,Robert Biale,
232,Robert Craig,
934,Robert Hall,
1803,Robert James Wines,
413,Robert Mondavi,
900,Robert Renzoni,
256,Robert Young,
1092,Robinson Family Vineyards,
1350,Roblar,
497,Rocca,
472,Rochioli,
414,Rock Hollow,
940,Rock Lobster,
32,Rockroom Winemaking Cooperative,
336,Roessler,
1491,Roku,
1698,Rombauer,
1039,Romililly,
1626,Ron Rubin,
863,Rosa d'Oro,
954,Rose 'N' Blum,
680,Rosenblum,
955,Rossi Wallace,
420,Roth,
488,Round Hill,
822,Round Pond,
1392,Row Eleven,
1231,Rubino Estates Winery,
454,Ruby Hill Winery,
1036,Ruby Red,
728,Rued,
297,Rusack,
1024,Russian Ridge,
175,Rutherford Hill,
584,Rutherford Ranch,
458,Rutz,
1417,Ryan Cochrane,
1708,Ryzin,
576,S&G; Estate,
1713,S.R. Tonella,
1250,Séamus Wines,
973,Saddleback,
870,Saini,
394,Saint Gregory,
1439,Saint K,
606,Saintsbury,
1125,Salvestrin,
240,Samsara,
1743,Samuel Louis Smith,
180,San Antonio,
141,San Simeon,
1320,Sanctuary,
1630,Sand Point,
641,Sandhi,
1697,Sandler,
288,Sanford,
716,Sanglier Cellars,
504,Sanguis,
1830,Sans Wine Co,
221,Santa Barbara Winery,
1688,Santa Cruz Mountain Vineyard,
1364,Sante Arcangeli,
889,Saracina,
529,Sarah's Vineyard,
1245,Save Me San Francisco,
219,Saxon Brown,
593,Sbragia,
1584,Scar of the Sea,
820,Scarlett,
98,Schramsberg,
438,Schug,
152,Schweiger,
478,Sciandri Family,
708,Scott Family,
1009,Scott Harvey,
1458,Scratchpad,
1722,Screen Door Cellars,
749,Sculpterra,
1457,Sea Monster,
665,Sea Shell Cellars,
550,Sea Smoke,
821,SeaGlass,
588,Sean Thackrey,
1718,Secret Cellars,
1367,Sedition,
342,Seghesio,
1525,Senses,
143,Sensorium,
789,Sequana,
1635,Sequin,
298,Sequoia Grove,
1128,Sequum,
305,Sera Fina,
587,Serena's Vineyard,
1064,Seven Angels,
888,Seven Deadly Zins,
1507,Seven Oxen,
1748,Seven Rings,
1474,Sevtap,
649,Sextant,
1204,Shane Wines,
1673,Shannon,
346,Shannon Ridge,
439,Sharabella Wines,
834,Shed Horn Cellars,
139,Sheldon,
670,Shiloh Road,
1313,Shippey,
1675,Sibling Bubblery,
1754,Sidebar,
263,Siduri,
812,Sierra Madre,
189,Signaterra,
441,Signorello,
1655,Sill Family,
307,Silver,
936,Silver Horse,
1447,Silver Mountain,
1669,Silver Stag,
1605,Silver Trident,
1464,Silverpoint Cellars,
215,Simi,
1759,Simple Life,
968,Sinor-LaVallee,
1524,Siot,
1010,SIP,
1143,Site,
1494,Sivas-Sonoma,
1418,Sketchbook,
1218,Skinner,
1284,Skyhawk Lane,
1442,Slingshot,
1483,Small Vines,
1225,Smashberry,
518,Smith & Hook,
918,Smith-Madrone,
1717,Smoke Tree,
537,Snapping Turtle,
1556,Snowden,
295,Sobon Estate,
647,Sobriquet Winery,
345,Sodaro,
1607,Sofia,
501,Sojourn,
1115,Sol Rouge,
1030,Solis,
1714,Solitary Cellars,
1339,Solminer,
608,Solomon Hills,
293,Somerston,
1333,Sonkin Cellars,
875,Sonoma Coast Vineyards,
1781,Sonoma Collection,
193,Sonoma Hills,
1209,Sonoma-Cutrer,
1798,Sonoma-Loeb,
635,Soquel Vineyards,
499,Sorelle Winery,
1405,Sostener,
1378,Sottomarino,
425,Soulmate,
1233,South Coast,
1038,Spann Vineyards,
1336,Sparrow Hawk,
1242,Spell,
1316,Spellbound,
1179,Spicy Vines,
856,Spin the Bottle,
1236,Spottswoode,
1046,Spring Mountain Vineyard,
1694,Square Peg,
831,St. Amant,
79,St. Francis,
949,St. Rose,
74,St. Supéry,
480,Stags' Leap Winery,
848,Standing Sun,
761,Standish,
312,Star Angel by Montes,
967,Star Lane Vineyard,
1391,Stargazer Barn,
912,Stark,
318,Starmont,
930,State of Art,
1034,Steelhead Vineyards,
999,Stein Family,
1151,Steiner Family Vineyards,
682,Stephen & Walker,
214,Stephen Ross,
96,Sterling,
563,Steven Kent,
1668,Stewart,
370,Stickybeak,
1224,Still Waters,
1686,Stolen Identity,
1152,Stolo,
658,Stomping Ground,
933,Stone The Crows,
322,Stonestreet,
153,Storm,
1382,Storrs,
832,Storyteller,
961,Straight Line,
689,Stryker Sonoma,
1292,Stuhlmuller Vineyards,
1716,Succulent Vineyards,
1214,Summerland,
423,Summers,
914,Summerwood,
1319,Sunstone,
456,Super Sonoman,
553,Sutcliffe,
1234,Sutro,
1195,Svago Buono,
427,Swanson,
1544,T.W. Fermentation,
745,Tablas Creek,
1306,Taken Wine Co.,
1606,Talbott,
321,Talley,
229,Tangent,
1757,Tank Garage,
1730,Tanner,
335,Tanner DaFoe,
1019,Tantara,
1589,TAO,
726,Ten Acre,
1801,Tenshen,
1808,Tensley,
426,Tercero,
128,Terlato,
383,Terra Bella,
1021,Terra d'Oro,
277,Terra Valentine,
513,Terre Rouge,
1359,Tessier Winery,
165,Testarossa,
203,Tetra,
1435,Textbook,
1412,TH,
1189,The Archivist,
1140,The Bridge,
750,The Calling,
281,The Crusher,
1604,The Decision,
1734,The Divining Rod,
168,The Farm Winery,
1302,The Federalist,
1704,The Forager,
873,The Full,
943,The Gardener,
1332,The Girls in the Vineyard,
1123,The Loyal Companion,
1348,The Prisoner,
1762,The Tribe,
230,The Vineyard House,
602,The White Knight,
1421,The Winery SF,
1453,The Withers Winery,
1033,There Wines,
245,Thomas Fogarty,
1042,Thomas George,
1349,Three,
686,Three Fat Guys,
1087,Three Knights,
1821,Three Pears,
1273,Three Pines,
166,Three Saints,
993,Three Sticks,
1541,Three Thieves,
514,Tiedemann,
687,Tin Barn,
1006,Tin Roof,
1452,Tines,
1827,Tinto Rey,
1667,Toad Hollow,
249,Tobacco Road,
699,Toboni,
133,Toccata,
630,Tolosa,
1633,Tom Gore,
676,Tondré,
1597,Tooth and Nail,
1310,Topanga,
978,Tortoise Creek,
412,Townley,
377,TR Elliott,
457,Tractor Shed Red,
1514,Trailhead,
723,Transcendence,
1771,Transmission,
556,Treana,
742,Treasure,
536,Trefethen,
200,Trentadue,
334,Trenza,
1407,Tres Sabores,
1432,Trig Point,
481,Trinitas,
356,Trione,
1795,Troika,
783,Troll Bridge,
1340,Trombetta,
509,Truchard,
1617,True Myth,
526,Truett Hurst,
351,Tuck Beckstoffer,
899,Turiya,
1793,Turkovich,
591,Turley,
483,Turnbull,
446,TV Celadon,
753,Twenty Bench,
568,Twin Arches,
1427,Twisted,
1187,Twisted Cedar,
355,Twisted Oak,
1691,Twisted Paso,
735,Twisted Sisters,
895,Twisted Twig,
1240,Two Moons,
440,Two Sisters,
710,Twomey,
1449,Ty Caton,
360,Tyler,
410,Tyler Florence,
179,Ugly Duckling,
1246,Ulises Valdez,
473,Uphill Vineyards,
567,Uptick Vineyards,
510,Urban Legend,
941,Uvaggio,
1283,Valdez,
260,Valley Legend,
332,Valley of the Moon,
1205,Van Ruiten,
1492,Vasco Urbano,
460,VC Cellars,
851,Vellum,
560,Venge,
966,Ventana,
549,Venteux,
129,Verde Sole,
1413,Vermeil,
1742,VGS Chateau Potelle,
938,Via Giusti,
131,Viader,
1470,Victor Vineyards,
701,Vie Winery,
657,Vigilance,
430,Villa del Monte,
424,Villa San Juliette,
1035,Villa Toscano,
1198,Viluko,
532,Vina Robles,
1326,Vindemia,
1478,Vine Cliff,
802,Vine Hill,
865,Vinemark,
906,Vino Vargas,
1700,Vinoce,
503,VinRoc,
629,Vinum,
994,Vinum Cellars,
1061,Virage,
1715,Virginia Dare,
1211,Viszlay Vineyards,
511,VJB,
958,VML,
760,Vogelzang,
1638,Volatus,
711,Volker Eisele Family Estate,
950,Von Holt,
233,Von Strasser,
265,Voss,
640,W.H. Smith,
1394,Wait Cellars,
781,Waits-Mast,
868,Wallis Family Estate,
747,Walt,
1025,War Horse,
843,Wargin Wines,
325,Waterstone,
99,Wattle Creek,
1308,Waxwing,
1104,Wayfarer,
1423,WCP,
1769,Weatherborne,
971,Wedell Cellars,
341,Weinstock Cellars,
163,Wellington,
907,Wente,
1291,WesMar,
1076,West of Temperance,
695,Westerly,
1805,Westwood,
1425,Whiplash,
1502,Whistler,
248,Whitcraft,
444,White Cottage Ranch,
228,White Oak,
1746,White Rock Vineyards,
236,Whitehall Lane,
1070,Wild Coyote,
349,Wild Hog,
1029,Wild Hogge,
512,Wild Horse,
1419,Wild Oats,
1052,Wild Ridge,
1733,Wilderotter,
1487,William Hill Estate,
1376,William Knuttel,
1062,WillowBrook Cellars,
395,Wilson,
1485,Windemere,
1693,WindRacer,
1560,Windrun,
1192,Windsor Oaks,
594,Windstream,
1289,Windy Oaks,
639,Wine Guerrilla,
86,Wine Spots,
1051,Winery by the Creek,
1526,Wise Villa,
828,Witching Stick,
1613,Wolff,
1203,Wolfgang Puck,
524,Wood Family Vineyards,
546,Woodbridge by Robert Mondavi,
756,Woodenhead,
216,Work,
1678,Workman Ayer,
104,World's End,
375,Worthy,
388,Wrath,
1433,Wrights Station,
979,X,
218,Y Rousseau,
1782,Yao Family Wines,
418,Yao Ming,
1282,Yorba,
362,Yorkville Cellars,
1467,Young Inglewood,
1738,Z. Alexander Brown,
212,Zaca Mesa,
1060,Zagan's Fire,
1832,Zanoli,
1122,ZD,
1711,Zeitgeist,
1011,Zenaida Cellars,
1055,Zepaltas,
565,Zina Hyde Cunningham,
1504,ZinPhomaniac,
1072,Zinsane,
1719,Zoetic Wines,
1531,Zotovich Cellars,
886,Zynthesis,
