,winery,cities
1364,Sante Arcangeli,
1365,Helwig,
1366,El Pistolero,
1367,Sedition,
1368,J. Wilkes,
1369,Lexington,
1370,Envy,
1371,Cakebread,
1372,Frey,
1373,Chronic Cellars,
1374,Barrack,
1375,Director's Cut,
1376,William Knuttel,
1377,Broadway Vineyards,
1378,Sottomarino,
1379,Hertelendy,
1380,Au Contraire,
1381,Pine & Brown,
1382,Storrs,
1383,Portola Vineyards,
1384,Mark David,
1385,Chesebro,
1386,Herencia,
1387,Puccioni,
1388,J Wilkes,
1389,Mirror,
1390,Alta,
1391,Stargazer Barn,
1392,Row Eleven,
1393,Darioush,
1394,Wait Cellars,
1395,Palumbo Family Vineyards,
1396,Calavera Wines,
1397,Kobler,
1398,Herman Story,
1399,Limited by Cambridge Cellars,
1400,Jackhammer,
1401,Barber,
1402,Kaleidos,
1403,Gauguine,
1404,Eagle Canyon,
1405,Sostener,
1406,Jax,
1407,Tres Sabores,
1408,Blue Farm,
1409,Chanin,
1410,Austerity,
1411,Macauley,
1412,TH,
1413,Vermeil,
1414,Brian Benson,
1415,Boeschen Vineyards,
1416,Eric Kent,
1417,Ryan Cochrane,
1418,Sketchbook,
1419,Wild Oats,
1420,LVE,
1421,The Winery SF,
1422,My Essential,
1423,WCP,
1424,Red Stich,
1425,Whiplash,
1426,Jordan,
1427,Twisted,
1428,Balo,
1429,August Truth,
1430,Leto,
1431,Custard,
1432,Trig Point,
1433,Wrights Station,
1434,Floodgate,
1435,Textbook,
1436,Cuttings,
1437,Boheme,
1438,Montemar Wines,
1439,Saint K,
1440,Michel-Schlumberger,
1441,Cartlidge & Browne,
1442,Slingshot,
1443,Ernest & Julio Gallo,
1444,Four Sisters Ranch,
1445,Cass,
1446,Challen,
1447,Silver Mountain,
1448,Gehricke,
1449,Ty Caton,
1450,Hanaiali'i,
1451,Obsidian Ridge,
1452,Tines,
1453,The Withers Winery,
1454,FEL,
1455,Holus Bolus,
1456,Barrel Racer,
1457,Sea Monster,
1458,Scratchpad,
1459,Brecon Estate,
1460,Medlock Ames,
1461,Paix Sur Terre,
1462,Frostwatch,
1463,Angels & Cowboys,
1464,Silverpoint Cellars,
1465,Pellet Estate,
1466,Cocobon,
1467,Young Inglewood,
1468,CUTT,
1469,Grassini,
1470,Victor Vineyards,
1471,Bright Angel WInes,
1472,Old Soul,
1473,Kitá,
1474,Sevtap,
1475,Ilaria,
1476,Gamba,
1477,Michael-Scott,
1478,Vine Cliff,
1479,MacMurray Estate Vineyards,
1480,Lula,
1481,Liquid Farm,
1482,Domaine Anderson,
1483,Small Vines,
1484,Charles Heintz,
1485,Windemere,
1486,Pulchella,
1487,William Hill Estate,
1488,Aequorea,
1489,Dracaena,
1490,Carneros Ranch,
1491,Roku,
1492,Vasco Urbano,
1493,kukkula,
1494,Sivas-Sonoma,
1495,Pagter Brothers,
1496,Byington,
1497,Lamborn Family Vineyards,
1498,Heintz,
1499,Calstar Cellars,
1500,Jackson Estate,
1501,Michaud,
1502,Whistler,
1503,Broadside,
1504,ZinPhomaniac,
1505,Angel's Cup,
1506,Judd's Hill,
1507,Seven Oxen,
1508,Chelsea Goldschmidt,
1509,Cold Water Creek,
1510,Paratus,
1511,Flywheel,
1512,Benaddiction,
1513,Haraszthy,
1514,Trailhead,
1515,Red Rock,
1516,Mi Sueño,
1517,Antica,
1518,Rexford,
1519,Loft,
1520,JAQK Cellars,
1521,Della,
1522,Carlisle,
1523,Enos Vineyard,
1524,Siot,
1525,Senses,
1526,Wise Villa,
1527,Mesa Del Sol,
1528,Okapi,
1529,Garnet,
1530,Jack Creek,
1531,Zotovich Cellars,
1532,Les Belles Collines,
1533,Coniglio,
1534,Golden Triangle,
1535,Lichen Estate,
1536,Mathew Bruno,
1537,Mithra,
1538,Bella Grace,
1539,Argot,
1540,Cedarville,
1541,Three Thieves,
1542,MCV,
1543,Orpheus,
1544,T.W. Fermentation,
1545,La Pitchoune,
1546,Moniker,
1547,Grey Wolf Cellars,
1548,Central Coast Group Project,
1549,Cutruzzola,
1550,Pugilist,
1551,Crux,
1552,Groth,
1553,Feliz Noche,
1554,Lion Ranch,
1555,Oak Farm,
1556,Snowden,
1557,Piccolo,
1558,Hindsight,
1559,Brick & Mortar,
1560,Windrun,
1561,Liberated,
1562,Coastline,
1563,Dehlinger,
1564,Lucky Rock Wine Co.,
1565,Ottimino Vineyards,
1566,Housley's Century Oak,
1567,Mike and Molly Hendry,
1568,Opolo,
1569,Fortress,
1570,Devil Proof,
1571,Carucci,
1572,Beran,
1573,Cloak & Dagger,
1574,Mt. Brave,
1575,Acumen,
1576,Ninety+,
1577,LJ Crafted Wines,
1578,Dubost,
1579,Levendi,
1580,Conarium,
1581,Fog Theory,
1582,Rivino,
1583,Blair,
1584,Scar of the Sea,
1585,Ehlers Estate,
1586,Belden Barns,
1587,Aperture,
1588,Halter Ranch,
1589,TAO,
1590,Chalone,
1591,Irwin Family Vineyards,
1592,Amador Cellars,
1593,Casa Dumetz,
1594,Fatty Pope,
1595,La Marea,
1596,Reinert Project,
1597,Tooth and Nail,
1598,Hooker,
1599,Burnside Road,
1600,Grevino,
1601,Ektimo Vineyards,
1602,Black's Station,
1603,Grow Wines,
1604,The Decision,
1605,Silver Trident,
1606,Talbott,
1607,Sofia,
1608,Halcon,
1609,Ammunition,
1610,Hibou,
1611,Municipal Winemakers,
1612,Hayes Valley,
1613,Wolff,
1614,Bright Angel Wines,
1615,Cherry Tart,
1616,Cherry Pie,
1617,True Myth,
1618,MaidenStoen,
1619,Rabble,
1620,Lancaster,
1621,Drytown,
1622,Archgate Cellars,
1623,Maxville,
1624,Monte Smith,
1625,Garnet Vineyards,
1626,Ron Rubin,
1627,Ponte,
1628,MooBuzz,
1629,City Winery Chicago,
1630,Sand Point,
1631,C R Graybehl,
1632,Jim Palmer,
1633,Tom Gore,
1634,Lumen,
1635,Sequin,
1636,Ernest,
1637,Pellegrini,
1638,Volatus,
1639,Eaglewood,
1640,Marietta Cellars,
1641,Apothic,
1642,Noble Tree,
1643,Freakshow,
1644,Bodkin,
1645,McKahn,
1646,K Squared Cellars,
1647,Cambiata,
1648,Miner,
1649,Bella Union,
1650,Grimm's Bluff,
1651,Gregory Graham,
1652,Apriori,
1653,Point & Line,
1654,Reuling Vineyard,
1655,Sill Family,
1656,Poseidon,
1657,Hungry Blonde,
1658,Fossil Point,
1659,Eco Terreno,
1660,Brophy Clark,
1661,Ca' Del Grevino,
1662,Irony,
1663,Dunstan,
1664,Head High,
1665,Boete,
1666,Chasseur,
1667,Toad Hollow,
1668,Stewart,
1669,Silver Stag,
1670,Parmeson,
1671,Luna,
1672,Blue Oasis,
1673,Shannon,
1674,Iron Hub,
1675,Sibling Bubblery,
1676,McKinney,
1677,Calla Lily,
1678,Workman Ayer,
1679,Leaping Horse,
1680,Guenoc,
1681,Redwood Empire,
1682,Nicora,
1683,Casto Oaks,
1684,Puma Road,
1685,Red Thread Wines,
1686,Stolen Identity,
1687,Purple Heart Wines,
1688,Santa Cruz Mountain Vineyard,
1689,Giornata,
1690,Flanagan,
1691,Twisted Paso,
1692,Hudson Vineyards,
1693,WindRacer,
1694,Square Peg,
1695,Lang & Reed,
1696,Château Souverain,
1697,Sandler,
1698,Rombauer,
1699,Parker,
1700,Vinoce,
1701,Roark Wine Co.,
1702,Alma Fria,
1703,Now Presenting...,
1704,The Forager,
1705,Le Casque,
1706,Ila,
1707,Landsman,
1708,Ryzin,
1709,Lasseter,
1710,Inglenook,
1711,Zeitgeist,
1712,Caymus,
1713,S.R. Tonella,
1714,Solitary Cellars,
1715,Virginia Dare,
1716,Succulent Vineyards,
1717,Smoke Tree,
1718,Secret Cellars,
1719,Zoetic Wines,
1720,Magna Mater,
1721,La Voix,
1722,Screen Door Cellars,
1723,Grand Napa,
1724,Four Lanterns,
1725,Prodigal,
1726,Hard Six Cellars,
1727,Hersly,
1728,Chloe,
1729,Earth's Harvest,
1730,Tanner,
1731,Lazy Creek,
1732,Daniel,
1733,Wilderotter,
1734,The Divining Rod,
1735,D.R. Stephens,
1736,Michael Sullberg,
1737,Borrellie,
1738,Z. Alexander Brown,
1739,Auspicion,
1740,G & L Lurton,
1741,Manross,
1742,VGS Chateau Potelle,
1743,Samuel Louis Smith,
1744,Boeger,
1745,DeTierra Vineyards,
1746,White Rock Vineyards,
1747,Ideology,
1748,Seven Rings,
1749,Halleck,
1750,Apsara,
1751,Azari,
1752,Baldassari Family Wines,
1753,Predator,
1754,Sidebar,
1755,1850,
1756,Illumination,
1757,Tank Garage,
1758,Neyers,
1759,Simple Life,
1760,Hoi Polloi,
1761,La Honda Winery,
1762,The Tribe,
1763,Kiamie,
1764,Mersenne,
1765,Game of Thrones,
1766,Joey Tensley,
1767,Bowman Cellars,
1768,Beckon,
1769,Weatherborne,
1770,Kings Carey,
1771,Transmission,
1772,Barden,
1773,Rhiannon,
1774,Emerald Hare,
1775,Eighty Four,
1776,Murrieta's Well,
1777,Lea,
1778,Lyric by Etude,
1779,American Thread,
1780,Holdredge,
1781,Sonoma Collection,
1782,Yao Family Wines,
1783,Pennyroyal Farm,
1784,Fallon Place,
1785,Craftsman,
1786,Avaler,
1787,First & Local,
1788,AronHill,
1789,Croma Vera,
1790,Powicana Farm,
1791,Leo Steen Wines,
1792,EnRoute,
1793,Turkovich,
1794,Laguna,
1795,Troika,
1796,McClean,
1797,Cobden Wini,
1798,Sonoma-Loeb,
1799,Cattleya,
1800,AVA Grace Vineyards,
1801,Tenshen,
1802,Nica,
1803,Robert James Wines,
1804,Bar Dog,
1805,Westwood,
1806,Berryessa Gap,
1807,Coda,
1808,Tensley,
1809,Carnivor,
1810,Decroux,
1811,Clos des Amis,
1812,Monochrome,
1813,Magic Door,
1814,Enkidu,
1815,Le Mistral,
1816,Ghostrunner,
1817,Luna Hart,
1818,Di Bruno,
1819,Feist,
1820,Belharra,
1821,Three Pears,
1822,Folktale,
1823,Day Owl,
1824,MacLeod,
1825,Muddy Boot,
1826,Heitz,
1827,Tinto Rey,
1828,Onward,
1829,Markus Wine Co,
1830,Sans Wine Co,
1831,Hess,
1832,Zanoli,
1833,Auburn,
1834,Baily,
