Name,Country,Region,Description
Vallée d’Aoste Jambon de Bosses,ITALY,SAINT-RHÉMY-EN-BOSSES,"One of the most prized Aosta Valley charcuterie products, Jambon de Bosses is a cured ham, produced ever since the 1300s in the small village of Saint-Rhémy-en-Bosses nestled at an altitude of 1,500m in the Gran San Bernardo Valley. Dry salted and seasoned with pepper, sage, rosemary, garlic, juniper, thyme and bay leaf, Vallée d’Aoste Jambon de Bosses exudes a delightful aroma of Alpine herbs and has a delicate salty flavor. It is best enjoyed in thin slices and typically served with other products of the local cuisine such as wholemeal bread, honey and chestnuts."
Drniski prsut,CROATIA,DRNIS,"Considered to be of the best quality of all the Croatian prosciuttos, Drnis prosciutto is a cured, smoked and dried ham produced in this region since the 14th century. It is scientifically proven that the submediterranean microclimate conditions around Drnis make this type of ham different from those produced in Istria or Dalmatia. The thighs used in the production of prsut must be of premium quality, sourced locally and weigh more than 11 kilograms. The prepared meat is salted, pressed, cold-smoked and dried for a minimum of 12 months. It is dried in the wind, and the balance between the cold and dry Bora wind, and the warmer Jugo wind, is essential for it to develop all its characteristic aromas and flavors."
Los Pedroches,SPAIN,PROVINCE OF CÓRDOBA,"Los Pedroches is a ham or shoulder from purebred Ibérico pigs made in the north of the province of Córdoba. The microclimate and other natural conditions in this region combined with green pasture and the special diet of the Iberian pigs make this ham unique. These hams are cured and dried for a minimum of 18 months and must weigh more than four kilos. Los Pedroches shoulders are produced in the same way except they are dried and cured for 12 months and must weigh more than 3,5 kilos. This ham has a bright pink to purple color and shiny appearance when cut."
Prosciutto di Modena,ITALY,PROVINCE OF MODENA,"According to earliest historical evidence, the origins of Modena ham date back to the time of Celts and later the Romans whose legions used to stock up on salted pork meat before setting off on military expeditions. Traditionally, this ham is produced on the hills and plains along the Panaro river, up to an altitude of 900 metres, namely in the provinces of Modena, Bologna and Reggio Emilia. Only the Large White, Landrance and Duroc pig breeds are used for Modena ham, and all involved production techniques are extremely detailed with precise regulations on slaughter, tracking marks, trimming, salting and greasing. The curing period lasts for a minimum of 14 months. Prosciutto di Modena is famous for its intense aroma and a delicate, less salty taste."
Schwarzwälder Schinken,GERMANY,BLACK FOREST,"Black Forest ham is the best-selling smoked ham in Europe. It is made from the hind leg of the pig, spiced according to producers' own traditional recipes, and cold smoked using fir wood from the Black Forest. The spices used are salt, garlic, coriander, pepper, and juniper berries. As a result, the ham has a dark layer of meat on the outside but a vibrant red color on the inside with a typical smoky aroma. Black Forest ham is boneless and always contains about 20% fat, and it has a nutty and spicy flavor. This ham is easily found in many restaurants, and may be eaten raw or used as an ingredient in cooked dishes."
Coppiette,ITALY,LAZIO,"Originating from Castelli Romani, coppiette, meaning little couples, is a variety of traditional Italian salami consisting of long, thin strips of salt-cured and dehydrated meat flavored with fennel seeds and flakes of Italian hot chili pepper known as pepperoncino. In the past, this cured meat product was a staple of poor farmers who did not waste any part of their precious animals. Coppiette is traditionally dried in pairs - hence its name - and it used to be prepared with the sinewy hind limb muscle tissue of sheeps, goats, donkeys, and horses."
Jamón de Serón,SPAIN,SERÓN,"Jamón de Serón is a ham made exclusively within the municipality of Serón from pigs of Duroc, Large White, Landrace, Blanco Belga, Pietrain or Chato Murciano breeds. This ham owes its excellence to the slow and long process of curing and drying that takes more than 16 months to complete. A good proportion of infiltrated fat between the bright pink to red muscle fibers gives this ham a shiny appearance and smooth texture."
File Elena,BULGARIA,ELENA,"File Elena is a dried raw meat product made from chilled or frozen pork tenderloin. The name refers to the city of Elena in northern Bulgaria. When the country was a part of the Ottoman Empire, it was almost impossible to sell pork products for religious reasons. The first record of a product similar to Elena being made from pork dates back to the 1850s. The fillets, locally called ribitsa, are salted and dried in a controlled environment suitable for natural microflora to develop and provide the meat with its typical aroma."
Jambon Noir de Bigorre,FRANCE,HAUTES-PYRÉNÉES,"Jambon noir de Bigorre is a cured ham made with pork from purebred Gascon Noir de Bigorre pigs. The lean meat has a deep red color, while the fat can have a slightly pinkish hue. Jambon noir de Bigorre is soft and tender, not overly salty, with a flavor reminiscent of nuts, grilled chestnuts, and mushrooms. The ham should be cured for at least 12 months, and it is available for purchase in the following forms: whole, on the bone, or sliced. Jambon noir de Bigorre is best enjoyed cut into thin slices and served at room temperature."
Country Ham,US,RICHMOND,"Country ham is a dry-cured ham usually associated with the Southeast United States. Virginia country hams are considered the best and were loved even by Queen Victoria of England. For a good country ham, the meat has to be dry-cured in salt for at least three months, and can sometimes be smoked afterwards. This ham is known for its salty flavor. Country ham can be either baked or boiled and is very versatile. It can be served as an appetizer or as a main course, and it pairs well with other meat dishes, gravies, salads, and even seafood. No matter the method, country ham is best served thinly sliced at room temperature."
Peameal Bacon,CANADA,TORONTO,"This bacon is a classic Canadian meat product made with a boneless center-cut pork loin that is typically trimmed of fat, then cured in brine, and finally enclosed in a coating of ground cornmeal, which gives it its signature yellow-hued crust and incomparable flavor. The original coating consisted of ground yellow peas called peameal, which is how the bacon got its name. Subtly sweet, nutty, and with a hint of saltiness, peameal bacon is not smoked nor pre-cooked, so it requires some preparation prior to consumption."
Prosciutto Toscano,ITALY,TUSCANY,"Produced under the same strict laws and traditions since the 15th century, Prosciutto Toscano is made exclusively with pigs born, bred, fattened and slaughtered in Tuscany. All pig legs must be provided with the breeder certificate to prove their provenance. The Tuscan hams are then salted and air cured for about 12 to 16 months whereas other Italian hams can only be salt-cured, Prosciutto Toscano can be cured and flavored with a blend of natural spices that are common in traditional Tuscan cuisine, including pepper, garlic, rosemary, and juniper."
Jamón ibérico de cebo,SPAIN,,"This Iberian ham variety comes from black Iberian pigs of either 75% or 50% Iberian breed. The difference between this variety and the other two Iberian ham varieties, namely the bellota and the cebo de campo varieties, which are made from pigs with the same Iberian breed percentage, lies in the pigs’ diet and their rearing. Pigs used in the production of jamón ibérico de cebo are typically raised on farms, in pens, and their diet consists only of natural commercial feed. Accounting for about 80% of the total Iberian ham production, ibérico de cebo is undoubtedly the most prevalent Iberian ham variety and bears a white label."
Culatello di Zibello,ITALY,PROVINCE OF PARMA,"Known as crème de la crème of Italian hams, with a tradition dating back to the 14th century, Culatello di Zibello is one of the most prized products of Parma nowadays made only with pigs raised in the regions of Emilia-Romagna and Lombardia. Culatello is tender, rich in flavor and has a refined, winey taste. It is one of the leaner forms of cured pork, cut from the best part of the whole fresh ham, and cured with a mixture of salt, pepper, garlic and dry white wine. Since it is stuffed in a natural casing, most often a pig's bladder, and tied with twine, Culatello is sometimes classified as a type of salami."
Istarski prsut,CROATIA,ISTRIA,"One of the staple ingredients of Croatian cuisine, Istrian prsut or prosciutto is a traditional cured and dried ham. It is usually served thinly sliced as an entree, alongside some artisanal bread and sheep or goat milk cheese. Its production is the simpler than those of other prosciuttos, as it is not smoked and is processed without its skin. After its skin and fat are removed, it is salted with coarse salt, pressed and rubbed with the mixture of black pepper, garlic, and different herbs. It is then dried for a few months in the wind before it is left to mature and ferment for the final six to eight months."
Jambon de Bayonne,FRANCE,BAYONNE,"Jambon de Bayonne is a dried, boneless pork ham from south-eastern France that matures for at least seven months and is salted using salt from the Adour river basin. During the maturation process, the ham gets tender and develops its distinctive aroma with hazelnut notes, and delicate taste, along with its melt-in-the-mouth properties when sliced thinly. In the past, it was often served on the tables of royalty and the wealthy. It can be eaten as a starter, thinly sliced and paired with olives or cheese, in salads with spinach, asparagus, melon and cheese or as a main course with chicken, potatoes, in tarts or fricassées."
Guanciale,ITALY,ITALY,"The salt-cured pork jowl is considered to be one of the fundamental ingredients in Italian cuisine for which there are no proper substitutes. When pressed, guanciale (lit. pillow) has a deep, much richer sweet-savory pork flavor than both Italian pancetta or bacon, and due to its high fat-to-meat ratio, it has a meltingly tender texture. Guanciale is used in a number of traditional Italian recipes, particularly in classic Roman pasta dishes like bucatini alla Amatriciana and spaghetti alla carbonara."
Jabugo,SPAIN,JABUGO,"Named after a village nestled in the Sierra de Aracena y Picos de Aroche Nature Park, in the northern part of the Andalusian province of Huelva, Jabugo is a variety of the popular Spanish Ibérico ham or shoulder ham made from the meat of the pure-bred Iberian pig or cross-breed of the local Manchado de Jabugo pig, with at least 75 % Iberian blood. The unique metabolism of these animals allows their fat to integrate into the muscles, evenly marbling the meat, which results in the distinctive flavor and juiciness of each ham. Reared in the so-called 'dehesas', agro-forested lands used primarily for grazing, sparsely wooded with holm and cork oaks, Iberian pigs gorge on acorns which give the meat a particularly sweet and nutty flavor."
Dalmatinski prsut,CROATIA,DALMATIA,"Dalmatinski prsut is a cured, smoked, and dried ham that is usually served thinly sliced alongside bread, cheese, or fruit such as melon. Unlike its Italian (prosciutto) and Istrian counterparts, the Dalmatian version of pršut is wood-smoked and dried for a minimum of twelve months. It is produced with fresh pork legs, with the bone, skin and subcutaneous fat. After preparation, which includes dry-salting, pressing, and seasoning, it is smoked and left to dry and mature in the air. The final period is strongly influenced by the cold and dry Bora wind, which creates favorable conditions for maturation."
Prosciutto di San Daniele,ITALY,SAN DANIELE DEL FRIULI,"Produced in the hilly area around the town of San Daniele in the province of Udine, Prosciutto di San Daniele is even sweeter and darker in color with a more delicate flavor than in other varieties. In the Friuli-Venezia Giulia region, where the winds from the Carnic Alps meet the breezes coming in from the Adriatic, Prosciutto di San Daniele is made using only local sea salt. The curing process here differs a little from other regions since San Daniele hams are stacked on top of each other and left to mature for at least 13 months. Up until recently, only large pig breeds such as Landrace, Large White and Duroc were used for ham production, however due to an increase in demand, San Daniele hams can now be made with other local breeds."
Pancetta,ITALY,ITALY,"This traditional Italian delicacy is made from salt-cured pork belly, which is occasionally spiced with fennel, pepper, or nutmeg. Unlike other similar cured meats, pancetta is not usually smoked, but merely cured and left to dry, usually for months at a time. Smoked varieties do exist, but they are nowhere near as common as the simple, clean-tasting cured type. It comes in two forms - rolled, typical of northern Italy, and in its original flat form, which is favored in central and southern Italy."
Jamón Serrano,SPAIN,SPAIN,"Jamón Serrano is a cured ham produced using the traditional methods dating back to Roman times. This ham has a bright pink to purple color and shiny appearance when cut. This ham is made in four separate steps that include salting, washing, post-salting, and drying or maturation. Jamón Serrano is cured and dried without skin for more than a year and has a delicate and characteristic aroma. Not much salt is used during the production of this emblematic ham, which makes it only slightly salty and brings out sweet notes that complement the flavor beautifully."
Bresaola della Valtellina,ITALY,VALTELLINA,"The origins of this air-dried, salted beef charcuterie can be traced back to the late Middle Ages, when the techniques of preserving beer, lamb and game had already spread throughout the Lombardian Valtellina valley and Alps. This lean and tender beef cut comes in five different varieties: Punta d Anca (loin), Sottofesa (top beef), Magatello (round roll), Sottosso (silverside), and Fesa (rump). The meat needs to age for about two to three months, until it completely dries out, becomes hard and turns dark red. Bresaola has a particularly sweet and musky aroma, and it is best enjoyed in traditional Lombardian starter dishes such as Bresaola della Valtellina Santa, where the meat is thinly sliced and served on rye bread with curls of juniper butter."
Jamón 100% ibérico de bellota,SPAIN,SPAIN,"Regarded as the most exquisite variety of Iberian ham, or jamón ibérico, this ham is made with the meat of 100% purebred black Iberian pigs that have been roaming freely across oak pastures (Dehesa) and feeding on an acorn-based (bellota) diet. Apart from these specifications, the pigs also have to be reared in one of the designated places of origin as well as fulfill the specified standards of bellota ham production to receive the most renowned black label or pata negra status - denoting the highest-quality Iberian ham."
Presunto,PORTUGAL,PORTUGAL,"This Portuguese cured ham is similar to Spanish jamón and Italian prosciutto. Presunto is a modern continuation of the ancient tradition of curing meat, a process that protects the nutritional value, flavor, and texture of the original ingredient. The first written records of the production of cured ham are from a 300BC description by Roman historian Cato the Elder. At the time, the process was somewhat different and included large amounts of salt, which affected the final flavor of the meat."
Prosciutto di Parma,ITALY,PROVINCE OF PARMA,"Carefully crafted with the same diligent care since the Roman times, Prosciutto di Parma is a true masterwork of time and tradition, and a gold standard of Italian prosciutto. The pigs of the Large White, Landrace and Duroc breed used in the production of this ham must also meet high quality standards, be bred in one of 10 northern and central Italian regions and fed a diet of grains, cereals and whey of Parmigiano Reggiano cheese, which contributes to the complex taste of the meat. Apart from the characteristic microclimate of the Parma region, which is ideal for the drying of prosciutto, a vital part of the curing process is salting. The expert Maestro Salatore (salt master) measures the minimum amount of sea salt required to preserve the meat."
Jamón ibérico de bellota,SPAIN,SPAIN,"This variety of Iberian ham is produced with meat coming from acorn-fed Iberian pigs that are either 75% or 50% pure Iberian breed, meaning they have been crossbred with other pigs such as the Duroc breed. As in the case of jamón 100% ibérico de bellota, the pigs used in the production of this ham are allowed to roam freely across the oak pasturelands in their final rearing stage, known as the montanera, eating an acorn-based diet until they reach the desired weight for the sacrifice, or the matanza as the Spanish call it. Jamón ibérico de bellota makes for about 13% of the total Iberian ham production and is distinguished by a red label. The designated areas of Iberian bellota ham production include the Dehesa de Extremadura, Salamanca, Huelva, and Valle de Los Pedroches in Spain, along with Barrancos in Portugal."
Jamón Ibérico,SPAIN,SPAIN,"Jamón Ibérico is a unique ham produced both in Spain and in Portugal. It is made from black ibérico pigs who eat a diet of corn, acorns, and other feed, most of them roaming freely across the pastures. As a result, the cured ham is dark red, marbled with veins of fat. Its flavor is sweet, nutty, and just slightly salty. There are four types of jamón ibérico, depending on the diet of the pigs, namely de bellota (acorns, three years minimum), 100% de bellota, cebo de campo (cereals, free-range pigs), and de cebo (cereals, commercially reared pigs)."
Jerky,US,,"This delicious snack is made with lean meat that is trimmed of fat, cut into thin strips, dried, and salted to preserve it. There is evidence that jerky was consumed and prepared in ancient Egypt, and it is known to have been a popular food among Native American civilizations. It would be made when game was plentiful, and the dried, salted meat could be stored to help them survive the winter when hunting or farming was impossible. Jerky was also ideal as it was easy to transport, which perfectly suited the nomadic lifestyle of many Native American tribes."
Bayonne ham,France,Bayonne,"The ham is a slightly sweet, delicately flavoured meat with little salt to the taste. It is generally cut very thin and has a chewy texture in comparison to cooked hams."
Biltong,South Africa,Highveld,"Essentially, biltong is meat that has been cured and dried. It is served in slices or strips of varying thickness and can be made using a variety of different meats."
Black Forest Ham,Germany,Black Forest,"Raw ham is salted and seasoned with garlic, coriander, pepper, juniper berries and other spices. Black Forest ham is boneless and about one-fifth fat."
Bresaola,Italy,Lombardy,"Bresaola is air-dried, salted beef (but it can also be made of horse, venison and pork) that has been aged two or three months until it becomes hard and turns a dark red, almost purple color. It is made from top (inside) round, and it is lean and tender, with a sweet, musty smell"
Bündnerfleisch,Switzerland,Graubünden,"The main ingredient is beef, taken from the upper thigh or shoulder of the animal, the fat and the sinews being removed. Before drying, the meat is treated with white wine and seasonings such as salt, onion and assorted herbs. It is also periodically pressed in order to separate out residual moisture: from this pressing Bündnerfleisch acquires its characteristic rectangular shape. "
Capocollo,Italy,,"In its production, capocollo is first lightly seasoned often with red and sometimes white wine, garlic, and a variety of herbs and spices that differs depending on region. The meat is then salted (and was traditionally massaged) and stuffed into a natural casing, and hung for up to six months to cure. Sometimes the exterior is rubbed with hot paprika before being hung and cured."
Carne Seca,Mexico,,Dried beef
Carne-de-sol,Brazil,,"Carne-de-sol, or jabá, is a dish from Northeastern Brazil of Sephardic Jewish origin. It consists of heavily salted beef, which is exposed to the sun for one or two days to cure."
Cecina,Spain,Leon,"Cecina is similar to ham and is made by curing cow, horse or rabbit meat. The best known cecina is Cecina de León, which is made of the hind legs of a cow, salted, smoked and air-dried in the province of León in northwestern Spain, and has PGI status."
Chipped Beef,US,,"Chipped beef is a form of pressed, salted and dried beef that has been sliced into thin pieces. Some makers smoke the dried beef for more flavor. The modern product consists of small, thin, flexible leaves of partially dried beef, generally sold compressed together in jars or flat in plastic packets."
Chorizo,Spain,Iberian Peninsula,"Spanish chorizo is made from coarsely chopped pork and pork fat, seasoned with garlic, pimentón, a smoked paprika, and salt."
Cured Pork Tenderloin,Spain,,Cured pork tenderloin is found in various cuisines in Mediterranean Europe and South America. It is typically salted or brined then dry-cured or smoked.
Elenski but,Bulgaria,Elena,"The legs and quarters of the pig, traditionally singed and scraped, are taken from the body. Later the redundant parts are removed, so that the remaining meat is protected by hide or the skin that surrounds the muscle tissue. After the legs are shaped, they are well salted and put at the bottom of a postav, a special type of barrel designed for the occasion. The delicacy traditionally remains in salt for 40 days, then is taken out and left to dry."
Hungarian Sausage,Hungary,,"The Hungarian sausages may be boiled, fresh or dried and smoked, with different spices and flavors, ""hot"" or ""mild"". The meat is coarsely ground and salted. If garlic is added, it is mashed in water to produce a slurry and added to the meat along with spices. The sausage is then stuffed into natural casings in 1-foot links - usually using the small intestine of the pig."
Lacón,Spain,Galicia,"Lacón is a Spanish dried ham obtained from the shoulders or front legs of the pig. The following breeds of pig may be used to make lacón: Celtic, Large White, Landrace or Duroc."
Musciame,Italy,"Liguria, Tuscany","Musciame or mosciame is a traditional Italian preserved meat made from the salted and sun-dried flesh of dolphins. It is black, and looks like a piece of charred wood hanging from a string."
Pânsâwân,Canada,,"Pânsâwân, or dry meat, is a type of dried smoked meat product made by the indigenous peoples of Canada including the Cree, Dene, and Métis. The meat used for its production is from bison, elk, or moose. Pânsâwân is traditionally produced by first slicing the meat parallel to the muscle grain into thin sheets. The sheets of sliced meat are then placed on a wooden frame to simultaneously dry and smoke over a small controlled flame."
Pastcrma,Turkey,,"Pastcrma is usually made from water buffalo or beef, but other meats can also be used. To make pastcrma the meat is rinsed and salted before being dried and pressed. After the first drying period, the meat is cold pressed for up to 16 hours. This aids the process of removing moisture from the meat. After the first pressing, the meat is dried for several days during which the fats melt and form a white layer. The second press is a ""hot press"". Finally, the dried and pressed meat is covered with a spice paste called çemen. Çemen is made from a paste of ground fenugreek seeds, chili powder and mashed garlic."
Pastrami,Romania,,"Pastrami is a meat product of Romanian origin usually made from beef brisket, and sometimes from lamb, or turkey. The raw meat is brined, partially dried, seasoned with herbs and spices, then smoked and steamed."
Pemmican,US,,"Pemmican is a mixture of tallow, dried meat and dried berries used as a nutritious food. The dried meat is often in the form of large game meat such as bison, deer, elk, or moose, but the use of fish such as salmon, and smaller game such as duck, is not uncommon."
Pitina,Italy,,"Pitina, Peta or Petuccia is an Italian cold cut. It is not a true sausage, but a meatball made of smoked meats. The meat of chamois (or goat) is mashed with a knife and a paste of garlic. salt, pepper and red wine is added. The mixture is blended in a mortar. The meat is then formed into meatballs, rolled in yellow corn (polenta) flour and then left to smoke for several days over a low fire of juniper wood."
Prosciutto,Italy,,"Prosciutto is an Italian dry-cured ham that is usually thinly sliced and served uncooked. Prosciutto is made from either a pig's or a wild boar's hind leg or thigh. Today, the ham is first cleaned, salted, and left for about two months. During this time, the ham is pressed, gradually and carefully so as to avoid breaking the bone, to drain all blood left in the meat. Next, it is washed several times to remove the salt, and is hung in a dark, well-ventilated environment. The surrounding air is important to the final quality of the ham; the best results are obtained in a cold climate."
Tsamarella,Greece,Cyprus,"It consists usually of goat's meat (the whole animal without its bones) that is salted and cured for preservation. The process of preparation traditionally involves drying in the sun for few days. After that, the meat was placed in boiled water and it was filled with condiment (usually oregano) and then producers put it again in the sun for one more day. Tsamarella is soft, it has salty taste and it is served with alcoholic beverages (wine, zivania etc) as a meze."
Ciauscolo,Italy,Marche,"Ciauscolo is a smoked and dry-cured sausage, made from pork meat and fat cut from the shoulder and belly. It is spiced with black pepper and garlic, and white wine. The meat is finely ground, mixed with the spices and cure, stuffed into wide hog middles, and left for a 12- to 24-hour drying period. Once the surface has become tacky, the sausage is cold-smoked over juniper branches for two days, then hung to cure. Although it can be aged for a month or more, it is typically eaten after only a brief two weeks. The result is a very soft, moist sausage which can be spread on bread, in a manner similar to some pâtés."
Finocchiona,Italy,Tuscany,"Finocchiona's ingredients are chopped pork meat (generally cheek, shoulder, or belly), fennel seeds, red wine, salt, and pepper. It is fermented and then dried for not less than five months."
Fuet,Spain,Catalonia,"Fuet is a Catalan thin, dry cured, sausage of pork meat in a pork gut. It is flavored with black pepper and garlic, and sometimes aniseed, but unlike Chorizo contains no paprika."
Genoa Salami,Italy,Genoa,"Genoa salami is a variety of salami commonly believed to have originated in the area of Genoa. It is normally made from pork, but may also contain veal. It is seasoned with garlic, salt, black and white peppercorns, and red or white wine. Like many Italian sausages, it has a characteristic fermented flavor."
Landjäger,Germany,,"Landjäger sausages are made of roughly equal portions of beef and pork with lard, sugar, red wine, and spices. They are each 15 to 20 cm (6 to 8 in) in length, made into links of two. Prior to smoking and drying, they are pressed into a mold, which gives them their characteristic rectangular cross-section of about 2.5 cm × 1 cm (1 in × 0.5 in). Typically, a pair of Landjäger weighs about 100 g and contains about 516 kcal. In Austria, Landjäger are sometimes made using horse meat."
Lukanka,Bulgaria,,"Lukanka is semi-dried, has a flattened cylindrical shape, and brownish-red interior in a skin that is normally covered with a white fungus. The mix of small pieces of meat and fat give the interior a grainy structure. Traditionally, lukanka salami is made of pork, veal, and spices (black pepper, cumin, salt), minced together and stuffed into a length of dried cow's intestine as a casing. After stuffing, the cylindrical salami is hung to dry for about 40 to 50 days in a well-ventilated location. In the process of drying, the salami is pressed to acquire its typical flat form. Lukanka is usually finely sliced and served cold as an appetizer or starter."
Pepperoni,US,,"Pepperoni is an American variety of salami, made from cured pork and beef seasoned with paprika or other chili pepper. Pepperoni is characteristically soft, slightly smoky, and bright red in color. Thinly sliced pepperoni is a popular pizza topping in American pizzerias."
Prasky,US,Chicago,"Prasky, sometimes spelled praski, is a type of coarse-ground summer sausage or salami related to a German Thuringer sausage, or Plockwurst (not to be confused with a Thuringer style bratwurst)."
Rosette de Lyon,France,Lyon,"Rosette de Lyon is a cured saucisson or French pork sausage. It is made from leg of pork, with the skin covered in black pepper, and usually served in chunky slices. Rosette de Lyon is the most famous of Lyon's sausages."
Saucisson,France,,"Saucisson or saucisson sec is a family of thick, dry-cured sausages in French cuisine. Typically made of pork, or a mixture of pork and other meats, saucisson are a type of charcuterie similar to salami or summer sausage."
Sibiu Salami,Romania,,"Sibiu Salami, also known as Salam de Sibiu, is a Romanian variety of salami made with pork's meat, pork's fat, salt and condiments."
Sobrasada,Spain,Balearic Islands,"Sobrasada is a raw, cured sausage from the Balearic Islands made with ground pork, paprika and salt and other spices. The chemical principle that makes sobrassada is the dehydration of meat under certain weather conditions (high humidity and mild cold) which are typical of the late Balearic autumn."
Soppressata,Italy,,"Soppressata is an Italian dry salami. Although there are many variations, two principal types are made: a cured dry sausage typical of Basilicata, Apulia, and Calabria, and a very different uncured salame, made in Tuscany and Liguria."
Winter Salami,Hungary,,"Winter salami is a type of Hungarian salami produced according to a centuries-old tradition. Made from Mangalitsa pork and spices (white pepper, allspice, and others), winter salami is cured in cold air and smoked slowly. During the dry ripening process, a special noble-mold is formed on the casing surface."
